"nodeID_from"	"nodeID_to"	"line"	"year"
83	377	"line7"	1915
377	94	"line7"	1915
94	294	"line7"	1915
294	418	"line7"	1915
418	278	"line7"	1915
278	254	"line7"	1915
254	410	"line7"	1915
297	238	"linea"	1915
238	57	"linea"	1915
57	50	"linea"	1915
50	47	"linea"	1915
47	41	"linea"	1915
41	39	"linea"	1915
39	34	"linea"	1915
34	27	"linea"	1915
27	22	"linea"	1915
22	20	"linea"	1915
20	14	"linea"	1915
14	8	"linea"	1915
8	3	"linea"	1915
3	139	"linea"	1915
139	132	"linea"	1915
132	127	"linea"	1915
127	119	"linea"	1915
119	110	"linea"	1915
110	101	"linea"	1915
101	93	"linea"	1915
93	86	"linea"	1915
86	72	"linea"	1915
72	29	"linea"	1915
72	30	"linea"	1915
29	424	"linea"	1915
30	424	"linea"	1915
424	399	"linea"	1915
399	203	"linea"	1915
203	210	"linea"	1915
210	273	"linea"	1915
273	289	"linea"	1915
289	303	"linea"	1915
303	293	"linea"	1915
293	317	"linea"	1915
317	222	"linea"	1915
222	268	"linea"	1915
268	359	"linea"	1915
359	314	"linea"	1915
314	413	"linea"	1915
413	378	"linea"	1915
378	382	"linea"	1915
382	189	"linea"	1915
189	322	"linea"	1915
322	416	"linea"	1915
416	393	"linea"	1915
393	250	"linea"	1915
250	281	"linea"	1915
281	126	"linea"	1915
126	135	"linea"	1915
135	383	"linea"	1915
383	5	"linea"	1915
5	10	"linea"	1915
10	361	"linea"	1915
383	142	"linea"	1915
142	143	"linea"	1915
143	291	"linea"	1915
291	187	"linea"	1915
187	171	"linea"	1915
171	170	"linea"	1915
170	169	"linea"	1915
169	168	"linea"	1915
168	167	"linea"	1915
167	251	"linea"	1915
175	312	"lineb"	1878
312	260	"lineb"	1878
260	51	"lineb"	1878
51	411	"lineb"	1878
411	46	"lineb"	1878
46	44	"lineb"	1878
44	40	"lineb"	1878
40	38	"lineb"	1878
38	35	"lineb"	1878
35	27	"lineb"	1878
27	22	"lineb"	1878
22	20	"lineb"	1878
20	14	"lineb"	1878
14	8	"lineb"	1878
8	3	"lineb"	1878
3	139	"lineb"	1878
139	132	"lineb"	1878
132	127	"lineb"	1878
127	119	"lineb"	1878
