"nodeID_from"	"nodeID_to"	"line"	"year"
281	121	"ligne2"	1900
121	64	"ligne2"	1900
64	20	"ligne2"	1900
20	72	"ligne2"	1900
72	168	"ligne2"	1900
168	194	"ligne2"	1900
194	196	"ligne2"	1900
196	3	"ligne2"	1900
3	14	"ligne2"	1900
14	179	"ligne2"	1900
206	5	"ligne3"	1904
5	146	"ligne3"	1904
146	214	"ligne3"	1904
214	193	"ligne3"	1904
193	302	"ligne3"	1904
302	162	"ligne3"	1904
162	299	"ligne3"	1904
299	92	"ligne3"	1904
92	266	"ligne3"	1904
266	114	"ligne3"	1904
114	186	"ligne3"	1904
186	240	"ligne3"	1904
240	36	"ligne3"	1904
36	276	"ligne3"	1904
276	244	"ligne3"	1904
244	9	"ligne3"	1904
9	285	"ligne3"	1904
285	246	"ligne3"	1904
246	189	"ligne3"	1904
189	256	"ligne3"	1904
256	194	"ligne3"	1904
194	103	"ligne3"	1904
103	213	"ligne3"	1904
213	102	"ligne3"	1904
225	261	"ligne3bis"	1921
261	192	"ligne3bis"	1921
192	103	"ligne3bis"	1921
218	279	"ligne4"	1908
279	164	"ligne4"	1908
164	56	"ligne4"	1908
56	16	"ligne4"	1908
16	107	"ligne4"	1908
107	105	"ligne4"	1908
105	53	"ligne4"	1908
53	282	"ligne4"	1908
282	244	"ligne4"	1908
244	91	"ligne4"	1908
91	141	"ligne4"	1908
141	57	"ligne4"	1908
57	62	"ligne4"	1908
62	269	"ligne4"	1908
269	184	"ligne4"	1908
184	264	"ligne4"	1908
264	274	"ligne4"	1908
274	272	"ligne4"	1908
272	177	"ligne4"	1908
177	294	"ligne4"	1908
294	243	"ligne4"	1908
243	81	"ligne4"	1908
81	178	"ligne4"	1908
178	2	"ligne4"	1908
2	232	"ligne4"	1908
27	28	"ligne5"	1906
28	89	"ligne5"	1906
89	115	"ligne5"	1906
115	222	"ligne5"	1906
222	187	"ligne5"	1906
187	135	"ligne5"	1906
135	121	"ligne5"	1906
121	281	"ligne5"	1906
281	107	"ligne5"	1906
107	105	"ligne5"	1906
105	119	"ligne5"	1906
119	246	"ligne5"	1906
246	183	"ligne5"	1906
183	248	"ligne5"	1906
248	37	"ligne5"	1906
37	18	"ligne5"	1906
18	239	"ligne5"	1906
239	104	"ligne5"	1906
104	268	"ligne5"	1906
268	43	"ligne5"	1906
43	202	"ligne5"	1906
50	126	"ligne6"	1907
126	29	"ligne6"	1907
29	289	"ligne6"	1907
289	190	"ligne6"	1907
190	25	"ligne6"	1907
25	83	"ligne6"	1907
83	132	"ligne6"	1907
132	42	"ligne6"	1907
42	278	"ligne6"	1907
278	191	"ligne6"	1907
191	177	"ligne6"	1907
177	87	"ligne6"	1907
87	243	"ligne6"	1907
243	81	"ligne6"	1907
81	265	"ligne6"	1907
265	110	"ligne6"	1907
110	70	"ligne6"	1907
70	202	"ligne6"	1907
202	180	"ligne6"	1907
180	61	"ligne6"	1907
61	238	"ligne6"	1907
238	22	"ligne6"	1907
22	82	"ligne6"	1907
82	80	"ligne6"	1907
80	19	"ligne6"	1907
19	197	"ligne6"	1907
197	179	"ligne6"	1907
128	98	"ligne7"	1910
98	12	"ligne7"	1910
12	220	"ligne7"	1910
220	68	"ligne7"	1910
68	77	"ligne7"	1910
77	250	"ligne7"	1910
250	281	"ligne7"	1910
281	145	"ligne7"	1910
145	55	"ligne7"	1910
55	105	"ligne7"	1910
105	205	"ligne7"	1910
205	41	"ligne7"	1910
41	138	"ligne7"	1910
138	59	"ligne7"	1910
59	186	"ligne7"	1910
186	235	"ligne7"	1910
186	236	"ligne7"	1910
235	188	"ligne7"	1910
236	188	"ligne7"	1910
188	210	"ligne7"	1910
210	57	"ligne7"	1910
57	209	"ligne7"	1910
209	283	"ligne7"	1910
283	125	"ligne7"	1910
125	203	"ligne7"	1910
203	46	"ligne7"	1910
46	140	"ligne7"	1910
140	202	"ligne7"	1910
202	287	"ligne7"	1910
287	157	"ligne7"	1910
157	229	"ligne7"	1910
229	216	"ligne7"	1910
216	230	"ligne7"	1910
230	198	"ligne7"	1910
198	156	"ligne7"	1910
157	137	"ligne7"	1910
137	296	"ligne7"	1910
296	298	"ligne7"	1910
298	297	"ligne7"	1910
145	121	"ligne7bis"	1911
121	30	"ligne7bis"	1911
30	39	"ligne7bis"	1911
39	32	"ligne7bis"	1911
32	201	"ligne7bis"	1911
201	234	"ligne7bis"	1911
234	79	"ligne7bis"	1911
79	32	"ligne7bis"	1911
15	147	"ligne8"	1913
147	33	"ligne8"	1913
33	96	"ligne8"	1913
96	65	"ligne8"	1913
65	132	"ligne8"	1913
132	85	"ligne8"	1913
85	134	"ligne8"	1913
134	118	"ligne8"	1913
118	66	"ligne8"	1913
66	150	"ligne8"	1913
150	186	"ligne8"	1913
186	249	"ligne8"	1913
249	112	"ligne8"	1913
112	31	"ligne8"	1913
31	282	"ligne8"	1913
282	246	"ligne8"	1913
246	97	"ligne8"	1913
97	273	"ligne8"	1913
273	60	"ligne8"	1913
60	18	"ligne8"	1913
18	136	"ligne8"	1913
136	94	"ligne8"	1913
94	247	"ligne8"	1913
247	176	"ligne8"	1913
